date,realized_pnl,unrealized_pnl,total_pnl,position,spread,z_score
2023-05-23,652390.478515625,-14495.086669921875,637895.3918457031,-1,6.83935546875,1.266900941689642
2023-05-24,808350.9155273438,0.0,808350.9155273438,0,3.4292449951171875,0.12790268812486588
2023-05-25,808350.9155273438,0.0,808350.9155273438,0,7.743858337402344,1.4646259919802735
2023-05-26,808350.9155273438,0.0,808350.9155273438,0,3.7571258544921875,0.020457204827760957
2023-05-30,808350.9155273438,0.0,808350.9155273438,0,1.2727279663085938,-0.7983312344836613
2023-05-31,808350.9155273438,0.0,808350.9155273438,0,1.5575027465820312,-0.7118859990083088
2023-06-01,808350.9155273438,0.0,808350.9155273438,0,0.212432861328125,-1.1530784525424127
2023-06-02,808350.9155273438,0.0,808350.9155273438,0,-0.32323455810546875,-1.3212835052084644
2023-06-05,808350.9155273438,0.0,808350.9155273438,0,-0.041229248046875,-1.2565508588210872
2023-06-06,808350.9155273438,0.0,808350.9155273438,0,-0.0589752197265625,-1.20859554694417
2023-06-07,808350.9155273438,0.0,808350.9155273438,0,0.539703369140625,-1.0199173779256023
2023-06-08,808300.9155273438,0.0,808300.9155273438,1,-2.8381423950195312,-1.9351057051418203
2023-06-09,808300.9155273438,45472.71728515625,853773.6328125,1,-1.9286880493164062,-1.464716048221189
2023-06-12,808300.9155273438,-41447.83020019531,766853.0853271484,1,-3.6670989990234375,-1.723937427385348
2023-06-13,808300.9155273438,-36503.98254394531,771796.9329833984,1,-3.5682220458984375,-1.4952787735471795
2023-06-14,808300.9155273438,-32456.207275390625,775844.7082519531,1,-3.4872665405273438,-1.3177462045041874
2023-06-15,808300.9155273438,3620.147705078125,811921.0632324219,1,-2.7657394409179688,-1.024077893942041
2023-06-16,808300.9155273438,7085.8001708984375,815386.7156982422,1,-2.6964263916015625,-0.9125599166429298
2023-06-20,808300.9155273438,-28786.849975585938,779514.0655517578,1,-3.41387939453125,-0.9909200112285624
2023-06-21,808300.9155273438,-108026.123046875,700274.7924804688,1,-4.998664855957031,-1.350240647829757
2023-06-22,808300.9155273438,-244800.9490966797,563499.9664306641,1,-7.734161376953125,-1.934002770677281
2023-06-23,808300.9155273438,-244060.1348876953,564240.7806396484,1,-7.7193450927734375,-1.6982319951073974
2023-06-26,808300.9155273438,-342868.0419921875,465432.87353515625,1,-9.695503234863281,-2.147856378360006
2023-06-27,372387.0391845703,0.0,372387.0391845703,0,-11.555419921875,-2.294611291067633
2023-06-28,372337.0391845703,0.0,372337.0391845703,1,-9.576461791992188,-1.5586833266326943
2023-06-29,372337.0391845703,3321.83837890625,375658.87756347656,1,-9.510025024414062,-1.3939580331659611
2023-06-30,372337.0391845703,-89857.10144042969,282479.9377441406,1,-11.373603820800781,-1.6609255029961023
2023-07-03,372337.0391845703,-72916.79382324219,299420.2453613281,1,-11.034797668457031,-1.409469757706478
2023-07-05,372337.0391845703,11031.723022460938,383368.76220703125,1,-9.355827331542969,-0.901727845412274
2023-07-06,372337.0391845703,30520.6298828125,402857.6690673828,1,-8.966049194335938,-0.7232849980249613
2023-07-07,372337.0391845703,-71791.07666015625,300545.96252441406,1,-11.012283325195312,-1.1874207036519666
2023-07-10,372337.0391845703,-89888.38195800781,282448.6572265625,1,-11.374229431152344,-1.1669035325534118
2023-07-11,372337.0391845703,-138094.32983398438,234242.70935058594,1,-12.338348388671875,-1.316547038898097
2023-07-12,372337.0391845703,-150128.173828125,222208.8653564453,1,-12.579025268554688,-1.2518916263086364
2023-07-13,372337.0391845703,-46299.74365234375,326037.29553222656,1,-10.502456665039062,-0.5777376243521257
2023-07-14,372337.0391845703,-21561.813354492188,350775.2258300781,1,-10.007698059082031,-0.35323008916740006
2023-07-17,368454.79431152344,0.0,368454.79431152344,0,-9.653106689453125,-0.14478753218494114
2023-07-18,368454.79431152344,0.0,368454.79431152344,0,-9.807815551757812,-0.08668616438864106
2023-07-19,368404.79431152344,0.0,368404.79431152344,1,-14.0574951171875,-1.9807646430661787
2023-07-20,368404.79431152344,129343.79577636719,497748.5900878906,1,-11.470619201660156,-0.6357126591848213
2023-07-21,536453.6254882812,0.0,536453.6254882812,0,-10.695518493652344,-0.056285275550948484
2023-07-24,536403.6254882812,-0.0,536403.6254882812,-1,-7.994514465332031,1.8607544519486792
2023-07-25,536403.6254882812,-17296.981811523438,519106.6436767578,-1,-7.6485748291015625,1.851970950273969
2023-07-26,119160.40344238281,0.0,119160.40344238281,0,0.3493499755859375,3.5878313874937926
2023-07-27,119110.40344238281,-0.0,119110.40344238281,-1,0.3785552978515625,2.666796515652386
2023-07-28,119110.40344238281,39947.509765625,159057.9132080078,-1,-0.4203948974609375,2.0403300327652203
2023-07-31,119110.40344238281,106488.037109375,225598.4405517578,-1,-1.7512054443359375,1.5161911482908188
2023-08-01,119110.40344238281,65139.7705078125,184250.1739501953,-1,-0.9242401123046875,1.4997519357775793
2023-08-02,119110.40344238281,48695.37353515625,167805.77697753906,-1,-0.5953521728515625,1.397652777171091
2023-08-03,119110.40344238281,80216.59851074219,199327.001953125,-1,-1.2257766723632812,1.1512132011405438
2023-08-04,119110.40344238281,630115.1275634766,749225.5310058594,-1,-12.223747253417969,-0.9581689538944514
2023-08-07,119110.40344238281,592633.8195800781,711744.2230224609,-1,-11.47412109375,-0.8128019068144496
2023-08-08,119110.40344238281,485095.9777832031,604206.3812255859,-1,-9.3233642578125,-0.43908685893586846
