date,action,spread,z_score,cost,trade_pnl,total_pnl
2023-08-04,MEAN_REVERSION_EXIT,-142.24978637695312,0.22116787098025725,50.0,978141.7846679688,752086.7980957031
2023-08-31,SHORT_ENTRY,-136.8463592529297,1.9297633885253425,50.0,,
2023-09-05,MEAN_REVERSION_EXIT,-140.73814392089844,-0.16845584287085114,50.0,194589.2333984375,946576.0314941406
2023-09-06,LONG_ENTRY,-146.8022003173828,-2.7221059354345507,50.0,,
2023-09-07,STOP_LOSS_EXIT,-149.1743621826172,-2.7372538667416113,50.0,-118608.09326171875,827867.9382324219
2023-09-08,LONG_ENTRY,-152.85569763183594,-2.828027944209553,50.0,,
2023-09-11,STOP_LOSS_EXIT,-155.30267333984375,-2.5922950014086648,50.0,-122348.78540039062,705419.1528320312
2023-09-12,LONG_ENTRY,-152.25457763671875,-1.7107835617083562,50.0,,
2023-09-13,STOP_LOSS_EXIT,-158.5505828857422,-2.292576270355698,50.0,-314800.2624511719,390518.8903808594
2023-09-14,LONG_ENTRY,-159.63626098632812,-2.0430975366627813,50.0,,
2023-09-18,MEAN_REVERSION_EXIT,-147.93104553222656,-0.28489974103903215,50.0,585260.7727050781,975679.6630859375
2023-10-16,LONG_ENTRY,-150.7151336669922,-1.8089715160393285,50.0,,
2023-10-25,STOP_LOSS_EXIT,-166.17202758789062,-2.8739819591062568,50.0,-772844.6960449219,202734.96704101562
2023-10-30,LONG_ENTRY,-163.6640167236328,-1.843297266458965,50.0,,
2023-12-01,MEAN_REVERSION_EXIT,-180.0643310546875,0.027321491327255903,50.0,-820015.7165527344,-617380.7495117188
2023-12-06,SHORT_ENTRY,-173.35671997070312,1.6324098161869023,50.0,,
2023-12-14,STOP_LOSS_EXIT,-164.78219604492188,2.399047611746117,50.0,-428726.1962890625,-1046206.9458007812
2024-01-02,LONG_ENTRY,-182.02406311035156,-1.8094962332740976,50.0,,
2024-01-16,STOP_LOSS_EXIT,-203.16793823242188,-2.250564896264603,50.0,-1057193.7561035156,-2103500.701904297
2024-01-17,LONG_ENTRY,-203.3202667236328,-1.9574985117770156,50.0,,
2024-02-21,MEAN_REVERSION_EXIT,-216.72738647460938,-0.04214980900310263,50.0,-670355.9875488281,-2773956.689453125
2024-02-29,LONG_ENTRY,-229.6199493408203,-1.9695940620902823,50.0,,
2024-03-04,STOP_LOSS_EXIT,-236.4955596923828,-2.387494068560803,50.0,-343780.517578125,-3117837.20703125
2024-03-07,LONG_ENTRY,-236.83578491210938,-1.9998550135220627,50.0,,
2024-03-14,STOP_LOSS_EXIT,-248.76705932617188,-2.3496022280545317,50.0,-596563.720703125,-3714500.927734375
2024-03-21,LONG_ENTRY,-254.4896697998047,-2.2126380460923225,50.0,,
2024-04-04,MEAN_REVERSION_EXIT,-245.65814208984375,-0.2496064082809177,50.0,441576.3854980469,-3273024.542236328
2024-04-15,SHORT_ENTRY,-237.6225128173828,2.06493552487115,50.0,,
2024-04-18,STOP_LOSS_EXIT,-233.9654541015625,2.3387608020585993,50.0,-182852.93579101562,-3455977.4780273438
2024-04-19,SHORT_ENTRY,-230.89761352539062,2.3408122611658557,50.0,,
2024-04-30,STOP_LOSS_EXIT,-215.92355346679688,2.2600033415304366,50.0,-748703.0029296875,-4204780.480957031
2024-05-22,LONG_ENTRY,-236.7471466064453,-2.0082710096501377,50.0,,
2024-06-06,MEAN_REVERSION_EXIT,-227.2432861328125,0.17684537152891916,50.0,475193.0236816406,-3729687.4572753906
2024-06-21,LONG_ENTRY,-239.335205078125,-1.6313867891816534,50.0,,
2024-08-15,MEAN_REVERSION_EXIT,-194.21363830566406,0.23679950114159273,50.0,2256078.338623047,-1473709.1186523438
2024-08-28,SHORT_ENTRY,-182.09959411621094,1.5866865397108665,50.0,,
